词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
止まる	⓪	自動1	とまる	停止		電車が止まる	电车停下来	10	动词·一类
渡す	⓪	他動1	わたす	交，给；渡过		手紙を渡す	转交信	10	动词·一类
笑う	⓪	自他動1	わらう	笑；嘲笑		大声で笑う	大声笑	10	动词·一类
買う	⓪	他動1	かう	购买		郵便局で切手を買いました	在邮局买了邮票	10	动词·一类
頼む	②	他動1	たのむ	请求，托付；依靠		仕事を頼む	托付工作	10	动词·一类
世話	②	名・他動3	せわ	照顾，帮忙		いろいろお世話になりました	承蒙您多方关照	10	动词·三类
挨拶	①	名・自動3	あいさつ	问候，寒暄；致辞		彼女は笑顔で挨拶した	她笑着向我打招呼	10	动词·三类
掃除	⓪	名・他動3	そうじ	打扫		週末は部屋の掃除をしました	周末打扫了房间	10	动词·三类
経験	⓪	名・他動3	けいけん	经验		経験を積む	积累经验	10	动词·三类
あげる	⓪	他動2・補動	あげる	给予，赠送		プレゼントをあげる	赠送礼物	10	动词·二类
壊れる	③	自動2	こわれる	坏，破碎；出故障		地震で家が壊れた	因为地震房子倒塌了	10	动词·二类
感じる	⓪	自他動2	かんじる	感到；觉得		暑く感じる	觉得热	10	动词·二类
慣れる	②	自動2・補動	なれる	习惯，适应；熟悉，熟练；（馴れる）动物亲近人类		新しい環境に慣れる	适应新环境	10	动词·二类
大学生	③④	名	だいがくせい	大学生		姉は大学生です	姐姐是大学生	10	名词·人物职业
娘	③	名	むすめ	女儿；未婚年轻女性		うちの娘は去年結婚しました	我女儿去年结婚了	10	名词·人物职业
息子	⓪	名	むすこ	儿子		うちの息子は大学１年生です	我家儿子是大学一年级	10	名词·人物职业
映画	①⓪	名	えいが	电影		映画を見に行く	去看电影	10	名词·兴趣娱乐
運動場	⓪	名	うんどうじょう	运动场，操场		運動場でサッカーをしよう	在运动场踢足球吧	10	名词·兴趣娱乐
社員	①	名	しゃいん	公司职员		新入社員	新员工	10	名词·场所
宿題	⓪	名	しゅくだい	作业		夏休みの宿題	暑假作业	10	名词·学习教育
みんな	③⓪	副・名	みんな	大家，诸位；全部	皆；「みな（皆）」をやや強めた語。また、ややくだけた語	みんなにお菓子をあげましょう	把点心分给大家吧	10	名词·抽象概念
菓子	①	名	かし	点心，糕点		お母さんと一緒にお菓子を作りました	我和妈妈一起做了点心	10	名词·抽象概念
七	①	名	なな	七	しち	一・二・三・四・五・六・七・八・九・十	數字1〜10的叫法	10	名词·数量
遠く	③⓪	名・副	とおく	远处，远方		遠くから人が来た	有人从远处过来了	10	名词·方位位置
今後	⓪	名	こんご	今后，将来		今後ともよろしくお願いします	今后也请多多指教	10	名词·时间
初め	⓪	名	はじめ	初次，当初	普通、順序の意には「初」、開始の意には「始」を用いる	初めはうまくできませんでした	一开始做得不太好	10	名词·时间
将来	①	名・副	しょうらい	将来，未来		将来はパイロットになりたいです	将来我想当飞行员	10	名词·时间
ヨーロッパ	③	名	(ポ) Europa	欧洲		ヨーロッパ連合	欧洲联盟，欧盟，EU	10	名词·社会文化
度	⓪	名	ど	程度；……次；（角度，经纬度，温度等）……度		度が過ぎる	过分，过度	10	名词·自然天气
ズボン	②①	名	(フ) jupon	裤子		ズボンを穿く	穿裤子	10	名词·衣物外貌
交差点	⓪③	名	こうさてん	十字路口		次の交差点を左に曲がってください	请在下一个十字路口左转	10	名词·身体健康
玄関	①	名	げんかん	玄关处，门口		日本の家では玄関で靴を脱ぐ	日本人家习惯在门口脱鞋	10	名词·身体健康
こんにちは	⑤	感	こんにちは	你好，您好		先生こんにちは	老师您好	10	基础·感叹寒暄
さようなら	④⑤	感	さようなら	再见，告别	さよなら	みなさん、さようなら	各位，再见	10	基础·感叹寒暄
だけ		副助	だけ	只，仅		きみにだけ話す	只对你说	10	基础·接续助词
ながら		接助	ながら	一边……一边……		歩きながら話す	边走边谈	10	基础·接续助词
どういう	①	連体	どういう	什么样的，怎么样的		その人はどういう人か	那个人是什么样的人？	10	基础·连体词
〜番		接尾	〜ばん	（表达顺序或序号）……号		成績はクラスで2番です	成绩在班里第二	10	基础·量词单位
ぬるい	②	イ形	ぬるい	（茶、洗澡水等没有达到预期的温度）温热的；不严格的	温い	風呂がぬるい	洗澡水不够热	10	形容词·い形
危ない	⓪③	イ形	あぶない	危险的		その道は車が多くて危ない	那条路车多，很危险	10	形容词·い形
厳しい	③	イ形	きびしい	严格的，严厉的；厉害的，严峻的		私の上司はとても厳しい	我的上司非常严厉	10	形容词·い形
古い	②	イ形	ふるい	古老的，旧的		私は古い車が好きです	我喜欢旧车	10	形容词·い形
楽しい	③	イ形	たのしい	愉快的，快乐的		楽しいクリスマス	愉快的圣诞节	10	形容词·い形
汚い	③	イ形	きたない	脏的；杂乱的；卑鄙的		彼の部屋はとても汚い	他的房间非常脏乱	10	形容词·い形
温かい	④	イ形	あたたかい	温的；温暖的，热情的		温かいスープが飲みたい	想喝一口热汤	10	形容词·い形
辛い	②	イ形	からい	辣的；烈的		四川料理は辛い	川菜很辣	10	形容词·い形
あまり	⓪	ナ形・副・名	あまり	（后接否定）不太，不很；（后接肯定）太，过分		このビールはあまりおいしくありません	这啤酒不怎么好喝	10	形容词·な形
きれい	①	ナ形	きれい	好看，美丽；干净，整洁	奇麗・綺麗	彼女はとてもきれいだ	她非常漂亮	10	形容词·な形
まっすぐ	③	名・ナ形・副	まっすぐ	笔直；直接	真っ直ぐ	この道をまっすぐ行ってください	请沿着这条路直走	10	形容词·な形
下手	②	名・ナ形	へた	不擅长，笨拙		私は歌が下手だ	我唱歌很烂	10	形容词·な形
