词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
同じ	⓪	ナ形・副	おなじ	相同，一样		彼の日本語のレベルは私と同じくらいだ	他的日语水平和我差不多	10	形容词·な形
有名	⓪	ナ形	ゆうめい	有名的		静岡はお茶で有名だ	静冈以产茶而闻名	10	形容词·な形
どうぞ	①	副	どうぞ	请		こちらへどうぞ	请往这边	11	副词
また	⓪②	副・接	また	又，再；同样；另外，下次	又	明日、また来ます	明天再来	11	副词
まだ	①	副	まだ	还没；还		宿題はまだ終わっていません	作业还没写完	11	副词
毎晩	①⓪	副・名	まいばん	每晚		毎晩九時に寝る	每天晚上九点睡觉	11	副词
働く	⓪	自動1	はたらく	工作		姉は銀行で働いています	姐姐在银行工作	11	动词·一类
困る	②	自動1	こまる	感到困难；为难		生活に困る	生活困难	11	动词·一类
帰る	①	自動1	かえる	回去		家に帰る	回家	11	动词·一类
泣く	⓪	自動1	なく	哭，哭泣		うれしくて泣く	高兴得哭起来	11	动词·一类
申す	①	他動1・補動	もうす	叫作	「言う」の丁重語	私は田中と申します	敝姓田中	11	动词·一类
聞く	⓪	他動1	きく	听；询问		音楽を聞く	听音乐	11	动词·一类
走る	②	自動1	はしる	奔跑；行驶		100メートルを11秒で走る	一百米跑十一秒	11	动词·一类
びっくり	③	副・自動3	びっくり	吃惊，吓一跳		大きな音にびっくりしました	巨大的声响吓了我一跳	11	动词·三类
原因	⓪	名・自動3	げんいん	（多用于不好的）原因		この事故の原因は何ですか	这起事故的原因是什么？	11	动词·三类
生活	⓪	名・自動3	せいかつ	生活		クジラは海で生活する	鲸鱼生活在海里	11	动词·三类
相談	⓪	名・他動3	そうだん	商量，商议，征求意见		友人に相談する	和朋友商量	11	动词·三类
結婚	⓪	名・自動3	けっこん	结婚		彼女は来月結婚します	她下个月要结婚了	11	动词·三类
入れる	⓪	他動2	いれる	放进；沏（茶等）		箱に物を入れる	把东西放入盒子里	11	动词·二类
消える	⓪	自動2	きえる	熄灭；消失		突然、電気が消えた	灯突然熄了	11	动词·二类
着る	⓪	他動2	きる	穿（衣服等）		着物を着る	穿和服	11	动词·二类
答える	③②	自他動2	こたえる	回应；回答，解答		「はい」と答える	回答“是的”	11	动词·二类
妹	④	名	いもうと	（自己的）妹妹		私の妹は小学生です	我的妹妹是小学生	11	名词·人物职业
弟	④	名	おとうと	（自己的）弟弟		弟は野球が好きです	弟弟喜欢棒球	11	名词·人物职业
父	②①	名	ちち	（跟别人提及时）爸爸，父亲		父の友人	父亲的友人	11	名词·人物职业
運動会	③	名	うんどうかい	运动会		運動会で一位になった	我在运动会上得了第一名	11	名词·兴趣娱乐
音楽	①⓪	名	おんがく	音乐		音楽を聞く	听音乐	11	名词·兴趣娱乐
小学校	③	名	しょうがっこう	小学		うちの子は小学校3年生です	我家孩子上小学三年级	11	名词·场所
書き方	③④	名	かきかた	写法		手紙の書き方	信的写法	11	名词·学习教育
ただ	①	名・副・接	ただ	免费；只；不过；普通		この温泉はただです	这个温泉是免费的	11	名词·抽象概念
クラス	①	名	class	班级；等级		この学校は1クラス30人です	这所学校一个班级有三十人	11	名词·抽象概念
以外	①	名	いがい	以外		私は雨の日以外は自転車で学校に行く	除了下雨天，我都是骑自行车上学	11	名词·抽象概念
五	①	名	ご	五		一・二・三・四・五・六・七・八・九・十	数字1〜10的叫法	11	名词·数量
物	②⓪	名	もの	东西，物品		それは私の物です	那是我的东西	11	名词·方位位置
今回	①	名	こんかい	这次，这回		今回の試験はすごく難しかった	这次考试真难	11	名词·时间
時代	⓪	名	じだい	时代，时期		江戸時代	江户时代	11	名词·时间
海	①	名	うみ	大海，海洋		海を渡る	渡海	11	名词·自然天气
スリッパ	①②	名	slipper	（室内用）拖鞋		スリッパをはいてください	请穿上拖鞋	11	名词·衣物外貌
後ろ	⓪	名	うしろ	后面；背后		後ろの席	后座	11	名词·身体健康
顔	⓪	名	かお	脸；表情；面子；人		まるい顔	圆脸	11	名词·身体健康
君	⓪	代	きみ	（称呼同辈或晚辈，男性用语）你		この本を君にあげます	这本书送给你	11	基础·代词指示
おはよう	⓪	感	おはよう	早上好		おはようございます	（礼貌的说法）早上好	11	基础·感叹寒暄
全〜	①	接頭	ぜん〜	全……，全部……		全世界	全世界，全社会	11	基础·接头接尾
では	①	接	では	那么，那样的话		では、お先に	那么，我先走了	11	基础·接续助词
〜本		接尾	〜ほん	（细长物的）……支，把，瓶		指三本	三根手指	11	基础·量词单位
安い	②	イ形	やすい	便宜的		この服はとても安い	这件衣服非常便宜	11	形容词·い形
寂しい	③	イ形	さびしい	寂寞的，无聊的；荒凉的，冷清的	さみしい	友だちがいなくて寂しい	没有朋友感到寂寞	11	形容词·い形
寒い	②	イ形	さむい	（天气）冷的		今日はちょっと寒いね	今天有点冷呢	11	形容词·い形
広い	②	イ形	ひろい	宽阔的；广泛的；宽广的		広い道路	宽阔的道路	11	形容词·い形
甘い	⓪②	イ形	あまい	甜的；宽松的，不严厉的		彼女は甘いものが大好きだ	她非常爱吃甜的东西	11	形容词·い形
軽い	⓪	イ形	かるい	轻的；轻微的；轻快的；简单的；轻浮的		体重が軽い	体重轻	11	形容词·い形
黄色い	⓪	イ形	きいろい	黄色的		彼女に黄色いバラを買いました	我买了一朵黄玫瑰送给她	11	形容词·い形
黒い	②	イ形	くろい	黑色的；脏的；邪恶的		彼女は黒いドレスを着ています	她穿着黑色的礼服	11	形容词·い形
いっぱい	⓪①	ナ形・副・名	いっぱい	⓪（いっぱい）充满，很多；①一杯，一碗	一杯	プールは人でいっぱいです	游泳池里人山人海	11	形容词·な形
こんな	⓪	連体・ナ形	こんな	这样，这种		こんなに面白い本は初めて読んだ	我第一次读到这么有趣的书	11	形容词·な形
上手	③	名・ナ形	じょうず	擅长，高明		妹は歌が上手です	妹妹很会唱歌	11	形容词·な形
大丈夫	③	ナ形・副	だいじょうぶ	没问题，不要紧		これなら大丈夫だ	如果这样就没问题啦	11	形容词·な形
好き	②	名・ナ形	すき	喜欢		私はワインが好きです	我喜欢红酒	11	形容词·な形
立派	⓪	ナ形	りっぱ	优秀的，出色的		立派な大人になる	成为出色的成年人	11	形容词·な形
もう	①⓪	副	もう	已经；马上；再		彼はもう帰りました	他已经回去了	12	副词
一番	②⓪	名・副	いちばん	第一，最好；最		現場には私が一番に着いた	我第一个到了现场	12	副词
時々	⓪	副・名	ときどき	有时，偶尔		彼は時々遅刻します	他偶尔会迟到	12	副词
毎月	⓪	副・名	まいつき	每个月		毎月30万円かせぐ	每月挣三十万日元	12	副词
取る	①	他動1	とる	拿；获得		塩を取ってください	请把盐递给我	12	动词·一类
履く	⓪	他動1	はく	穿（鞋、袜）		靴下を履く	穿袜子	12	动词·一类
弾く	⓪	他動1	ひく	（用手演奏乐器）弹		ピアノを弾く	弹钢琴	12	动词·一类
待つ	①	他動1	まつ	等待		ちょっと待ってください	请稍等；请等一下	12	动词·一类
立つ	①	自動1	たつ	站立；竖立；离开，动身		彼はステージに立った	他站在舞台上	12	动词·一类
読む	①	他動1	よむ	读；看		大声で読む	大声念	12	动词·一类
遊ぶ	⓪	自動1	あそぶ	玩耍		遊園地で遊ぶ	在游乐场玩耍	12	动词·一类
チェック	①	他動3・名	check	核对，检查		人数をチェックする	核对人数	12	动词·三类
安心	⓪	名・ナ形・自動3	あんしん	放心，安心		それを聞いて安心しました	听到这个我就放心了	12	动词·三类
希望	⓪	名・他動3	きぼう	希望，期望		進学を希望する	希望升学	12	动词·三类
案内	③	名・他動3	あんない	引导，向导；传达；通知，指南		道案内をする	引路	12	动词·三类
運転	⓪	名・自他動3	うんてん	驾驶；操作		自動車を運転する	驾驶汽车；开汽车	12	动词·三类
建てる	②	他動2	たてる	盖，建造		図書館を建てる	盖图书馆	12	动词·二类
生まれる	⓪	自動2	うまれる	出生；产生，创立		杭州で生まれ上海で育った	生在杭州，长在上海	12	动词·二类
見せる	②	他動2	みせる	给……看，展现		ふたを開けて中を見せる	打开盖子给人看里面的东西	12	动词·二类
過ぎる	②	自動2	すぎる	经过；超过；过分		年月が過ぎる	岁月流逝	12	动词·二类
大人	⓪	名	おとな	成人，大人		大人の言うことを聞きなさい	要听大人的话	12	名词·人物职业
男	③	名	おとこ	男性，男人		男の学生	男学生	12	名词·人物职业
スキー	②	名	ski	滑雪		冬はよくスキーに行きます	冬天经常去滑雪	12	名词·兴趣娱乐
スポーツ	②	名	sport	运动，游戏		どんなスポーツが好きですか	你喜欢什么体育运动？	12	名词·兴趣娱乐
公園	⓪	名	こうえん	公园		公園に小さな池があります	公园里有一个小池塘	12	名词·场所
答え	②③	名	こたえ	回复；答案		いくら呼んでも答えがない	不管怎么叫都没有回应	12	名词·学习教育
一緒	⓪	名	いっしょ	一起；同样的；合在一起		一緒に食事しようか	一起吃饭吧	12	名词·抽象概念
以上	①	名	いじょう	以上		飛行機が１時間以上遅れた	飞机延误了一个多小时	12	名词·抽象概念
三	⓪	名	さん	三		一・二・三・四・五・六・七・八・九・十	数字1〜10的叫法	12	名词·数量
北側	⓪	名	きたがわ	北方，北侧		グラウンドの北側は教室だ	体育场的北边是教室	12	名词·方位位置
今		造	こん	现……，本……		今年度	本年度	12	名词·时间
今度	①	名	こんど	这次或下次；最近，上次		今度はどこに行きたいですか	下次想去哪里？	12	名词·时间
最近	⓪	名	さいきん	近来，最近		彼女は最近結婚した	她最近结婚了	12	名词·时间
花	②	名	はな	花		花が咲く	开花	12	名词·自然天气
雨	①	名	あめ	雨，雨天		雨が降っています	在下雨	12	名词·自然天气
セーター	①	名	sweater	毛衣		このセーターはウールだ	这件毛衣是羊毛的	12	名词·衣物外貌
眼鏡	①	名	めがね	眼镜		眼鏡を外す	摘下眼镜	12	名词·身体健康
内	⓪	名・代	うち	内部；我（们）的；(うち）时候		内から開く	从里面打开	12	基础·代词指示
初めまして	④	感	はじめまして	初次见面		初めまして、田中と申します	初次见面，我叫田中	12	基础·感叹寒暄
大〜		接頭	おお〜	（数量）多；（程度）甚		大急ぎ	十万火急	12	基础·接头接尾
など	①	副助	など	……等，……之类的	等	お茶などいかがですか	要来点茶之类的吗？	12	基础·接续助词
〜枚		接尾	〜まい	（纸、板、货币、盘子等薄而扁平的东西）……张，……枚		紙5枚	五张纸	12	基础·量词单位
いい	①	イ形・補形	いい	好的；可以；合适，足够	「よい」の口頭語的な言い方	いい天気	晴朗的天气	12	形容词·い形
うるさい	③	イ形	うるさい	吵的，令人烦躁的；爱唠叨的		この通りは車の音がうるさい	这条路的车声很吵	12	形容词·い形
おいしい	⓪③	イ形	おいしい	美味的，好吃的	美味しい	このケーキはおいしいね	这个蛋糕真好吃	12	形容词·い形
ない	①	イ形・補形	ない	没有，缺少	無い	ここには何もない	这里什么都没有	12	形容词·い形
小さい	③	イ形	ちいさい	小的；程度低的；年轻的		小さい花が咲いています	开了一朵小花	12	形容词·い形
少ない	③	イ形	すくない	少的		人口が少ない	人口少	12	形容词·い形
強い	②	イ形	つよい	强的，激烈的		この人は本当に力が強い	这个人真有劲	12	形容词·い形
悪い	②	イ形	わるい	坏的，不好的		仲が悪い	关系不好	12	形容词·い形
いかが	②	ナ形・副	いかが	怎样，如何		ご気分はいかがですか	您觉得身体怎么样？	12	形容词·な形
